puzzle,category,time,date,scramble,penalty,comment
"333","Normal","20650","1642579618655","R' U F2 B2 L' F B D B2 R L2 D' R2 F2 R2 L2 U F2 B2 U F2","0",""
"333","Normal","17910","1642579659716","F' U2 B2 U2 L2 B2 F R2 F2 D' R2 B2 R' B L' U' L2 R' U R2","0",""
"333","Normal","23650","1642579714527","B2 R U2 L' D2 L2 U2 F2 D L U' L' F' R D U' R' B2 U'","0",""
"333","Normal","21170","1642579752216","R2 D2 B' F2 U2 B' R2 U2 R2 F2 U F L' B R D2 B2 F' U' R'","0",""
"333","Normal","22990","1642579794862","B' U2 F R2 B D2 F D2 F L2 F2 R F' U' L R B' R' F2 D","0",""
"333","Normal","19540","1642602819258","R2 B2 U R2 D B2 R2 D' B2 D U2 L' B2 R F2 U' L B' R F' R2","0",""
"333","Normal","16760","1642602851913","D' L2 U L2 D' F2 L2 F2 L' F' D' L' U B' L2 B R2 F' R","0",""
"333","Normal","19170","1642602892113","F' D' B2 R D' F2 D' L B' U' L2 F2 B' U2 B U2 D2 R2 B'","0",""
"333","Normal","19380","1642603335665","F L F' L U' D2 F R' U2 L B L B2 D2 R' L' D2 R D2","0",""
"333","Normal","16180","1642603525729","F2 L2 F D2 F2 R2 F' L2 D2 L2 D2 U L2 B L B F2 U B' L2 U2","0",""
"333","Normal","19280","1642603603054","U' L2 B2 D' L2 D B2 L2 U' L F L' U2 F' R2 D' B2 D B'","0",""
"333","Normal","16240","1642603688223","R2 B2 R D2 R' F2 L' U2 B2 R2 U2 F' D B' L U2 F2 D2 B2 D'","0",""
"333","Normal","19580","1642603736305","U2 R' B2 L D2 B2 R B2 U2 R F' L D L U2 R B R' D2 R","0",""
"333","Normal","19070","1642603793920","L2 D2 B2 D2 B2 L2 D R D U F R2 D B' R2 U F' R","0",""
"333","Normal","21390","1642603840397","L2 F' L2 U2 B2 D2 B F' L2 F' R' F2 L U' L' F U2 L' F U2","0",""
"333","Normal","20720","1642603886724","U2 F' U2 L2 B2 L2 F' L2 D2 F R' D' U' L B2 D' L' B R' U'","0",""
"333","Normal","17930","1642603922901","D R2 B2 D F2 U2 R2 B2 F2 U2 L' B L D L' R B' U' R2 F'","0",""
"333","Normal","17380","1642604150319","R2 U2 L2 D R' F' U B' L B' U' L2 U D2 R2 D F2 U' R2 U' R2","0",""
"333","Normal","14430","1642604195033","U' R U' D' F' U B' R' B2 U' B D2 B R2 F' D2 L2 F' R2 B","0",""
"333","Normal","20150","1642604249214","R' U2 F2 L2 D2 R2 D2 B2 R B2 R F' U F L' B F2 R B' U2 F'","0",""
"333","Normal","20940","1642604287068","D2 R F R U2 R L U' B2 R F2 R' F2 U2 R' U2 L' F2 L2","0",""
"333","Normal","23030","1642604463247","F2 U2 B2 D F2 D L2 B2 L2 F2 U L' B' D U L' B' L2 D B'","0",""
"333","Normal","20400","1642604507265","U R2 U' L2 U2 F2 U' F2 L2 U B D L2 F2 L F2 D U' B R2","0",""
"333","Normal","14760","1642604540228","U2 F2 R2 D2 F' D2 R2 B' R B2 U2 L' F' R2 D' B2 F R' F2","0",""
"333","Normal","22360","1642604608599","F2 D2 F D2 B' D2 U2 R2 U2 F L' D2 R F D F R2 D2 U B","0",""
"333","Normal","21180","1642604647829","U2 R U2 L B2 U2 R2 B2 D2 R F' L D' F R B2 U R2 B U'","0",""
"333","Normal","16830","1642604723784","D2 L2 B R2 B D2 R2 D2 R D B D' U' F2 D R F L2 U2","0",""
"333","Normal","20630","1642604779851","U B2 U' B D2 B2 D' R2 B' L' F2 U2 L F2 U2 L' D2 F2 U2 L2","0",""
"333","Normal","17040","1642604812521","U2 L B2 D2 F2 U2 L2 B2 R' B' L2 U B R' U' L' B F2 R","0",""
"333","Normal","15950","1642604873767","F2 R2 D2 U' R2 F2 D2 U L2 R B' L D R2 F D B' F2 L F2","0",""
"333","Normal","17430","1642604922728","R L2 D2 F' L' F R L' B' U D2 L2 D2 F2 L F2 L2 U2","0",""
"333","Normal","17680","1642605000069","B' D2 L2 B' D2 U2 B2 R2 B2 D' L2 R U2 R D' U R' B2 D2","0",""
"333","Normal","16960","1642605134079","R2 U2 L B L2 F R' D' L F' L2 F B2 L2 B2 U2 L2 U2 B L2","0",""
"333","Normal","19060","1642605453793","L F2 R' D2 F2 L' B2 D2 L U2 L' B L F' R' D' L B' R'","0",""
"333","Normal","15820","1642605535083","B L' U F2 U2 R D' B U R2 F' R2 B2 R2 U2 L2 B U2 F","0",""
"333","Normal","16410","1642605626525","U' L' D2 R2 U' D L' F' R' F' L B2 L2 D2 F2 D B2 D' R2 U'","0",""
"333","Normal","18650","1642605685907","F' L' B' D2 R D R2 F2 U' F' U' B2 D2 B2 R2 D' L2 U","0",""
"333","Normal","18630","1642605729624","D B2 L2 R2 U' L2 D U2 L2 D L F' D L' R2 B D B R2","0",""
"333","Normal","16680","1642605955227","D2 B' R B' U2 B R U' F' D2 B2 R U2 D2 B2 R F2 R F2 R2","0",""
